period,respondent,respondent-name,fueltype,type-name,value,value-units,total
2021-12-29T23,CAL,California,WND,Wind,1791,megawatthours,24739
2021-12-29T22,CAL,California,SUN,Solar,4624,megawatthours,24676
2021-12-29T22,CAL,California,WND,Wind,1688,megawatthours,24676
2021-12-29T21,CAL,California,SUN,Solar,6079,megawatthours,25585
2021-12-29T21,CAL,California,WND,Wind,1788,megawatthours,25585
2021-12-29T20,CAL,California,SUN,Solar,6945,megawatthours,25368
2021-12-29T20,CAL,California,WND,Wind,1453,megawatthours,25368
2021-12-29T19,CAL,California,SUN,Solar,7017,megawatthours,25316
2021-12-29T19,CAL,California,WND,Wind,1749,megawatthours,25316
2021-12-29T18,CAL,California,SUN,Solar,6947,megawatthours,25401
2021-12-29T18,CAL,California,WND,Wind,1545,megawatthours,25401
2021-12-29T17,CAL,California,SUN,Solar,5128,megawatthours,24818
2021-12-29T17,CAL,California,WND,Wind,1549,megawatthours,24818
2021-12-29T16,CAL,California,SUN,Solar,2941,megawatthours,23259
2021-12-29T16,CAL,California,WND,Wind,1270,megawatthours,23259
2021-12-29T15,CAL,California,SUN,Solar,172,megawatthours,21436
2021-12-29T15,CAL,California,WND,Wind,1143,megawatthours,21436
2021-12-29T14,CAL,California,SUN,Solar,-42,megawatthours,19357
2021-12-29T14,CAL,California,WND,Wind,983,megawatthours,19357
2021-12-29T13,CAL,California,SUN,Solar,-42,megawatthours,16912
2021-12-29T13,CAL,California,WND,Wind,1278,megawatthours,16912
2021-12-29T12,CAL,California,SUN,Solar,-43,megawatthours,16210
2021-12-29T12,CAL,California,WND,Wind,1500,megawatthours,16210
2021-12-29T11,CAL,California,SUN,Solar,-41,megawatthours,16261
2021-12-29T11,CAL,California,WND,Wind,1460,megawatthours,16261
2021-12-29T10,CAL,California,SUN,Solar,-41,megawatthours,16402
2021-12-29T10,CAL,California,WND,Wind,1640,megawatthours,16402
2021-12-29T09,CAL,California,SUN,Solar,-40,megawatthours,17090
2021-12-29T09,CAL,California,WND,Wind,1932,megawatthours,17090
2021-12-29T08,CAL,California,SUN,Solar,-40,megawatthours,18140
2021-12-29T08,CAL,California,WND,Wind,2011,megawatthours,18140
2021-12-29T07,CAL,California,SUN,Solar,-40,megawatthours,21273
2021-12-29T07,CAL,California,WND,Wind,2459,megawatthours,21273
2021-12-29T06,CAL,California,SUN,Solar,-40,megawatthours,23202
2021-12-29T06,CAL,California,WND,Wind,2683,megawatthours,23202
2021-12-29T05,CAL,California,SUN,Solar,-40,megawatthours,25672
2021-12-29T05,CAL,California,WND,Wind,2719,megawatthours,25672
2021-12-29T04,CAL,California,SUN,Solar,-40,megawatthours,26556
2021-12-29T04,CAL,California,WND,Wind,2572,megawatthours,26556
2021-12-29T03,CAL,California,SUN,Solar,-40,megawatthours,27058
2021-12-29T03,CAL,California,WND,Wind,2578,megawatthours,27058
2021-12-29T02,CAL,California,SUN,Solar,-42,megawatthours,27631
2021-12-29T02,CAL,California,WND,Wind,2407,megawatthours,27631
2021-12-29T01,CAL,California,SUN,Solar,-16,megawatthours,27140
2021-12-29T01,CAL,California,WND,Wind,2479,megawatthours,27140
2021-12-29T00,CAL,California,SUN,Solar,1571,megawatthours,25097
2021-12-29T00,CAL,California,WND,Wind,2667,megawatthours,25097
2021-12-28T23,CAL,California,SUN,Solar,5509,megawatthours,25153
2021-12-28T23,CAL,California,WND,Wind,3166,megawatthours,25153
2021-12-28T22,CAL,California,SUN,Solar,6411,megawatthours,24662
2021-12-28T22,CAL,California,WND,Wind,3362,megawatthours,24662
2021-12-28T21,CAL,California,SUN,Solar,6876,megawatthours,24683
2021-12-28T21,CAL,California,WND,Wind,2765,megawatthours,24683
2021-12-28T20,CAL,California,SUN,Solar,6954,megawatthours,24582
2021-12-28T20,CAL,California,WND,Wind,3003,megawatthours,24582
2021-12-28T19,CAL,California,SUN,Solar,6732,megawatthours,25201
2021-12-28T19,CAL,California,WND,Wind,3411,megawatthours,25201
2021-12-28T18,CAL,California,SUN,Solar,6476,megawatthours,25720
2021-12-28T18,CAL,California,WND,Wind,3348,megawatthours,25720
2021-12-28T17,CAL,California,SUN,Solar,5692,megawatthours,25500
2021-12-28T17,CAL,California,WND,Wind,3214,megawatthours,25500
2021-12-28T16,CAL,California,SUN,Solar,2795,megawatthours,24135
2021-12-28T16,CAL,California,WND,Wind,3389,megawatthours,24135
2021-12-28T15,CAL,California,SUN,Solar,178,megawatthours,22273
2021-12-28T15,CAL,California,WND,Wind,3391,megawatthours,22273
2021-12-28T14,CAL,California,SUN,Solar,-43,megawatthours,20043
2021-12-28T14,CAL,California,WND,Wind,3106,megawatthours,20043
2021-12-28T13,CAL,California,SUN,Solar,-43,megawatthours,17904
2021-12-28T13,CAL,California,WND,Wind,2961,megawatthours,17904
2021-12-28T12,CAL,California,SUN,Solar,-43,megawatthours,16930
2021-12-28T12,CAL,California,WND,Wind,2829,megawatthours,16930
2021-12-28T11,CAL,California,SUN,Solar,-42,megawatthours,16564
2021-12-28T11,CAL,California,WND,Wind,2734,megawatthours,16564
2021-12-28T10,CAL,California,SUN,Solar,-42,megawatthours,16773
2021-12-28T10,CAL,California,WND,Wind,3081,megawatthours,16773
2021-12-28T09,CAL,California,SUN,Solar,-41,megawatthours,17215
2021-12-28T09,CAL,California,WND,Wind,2952,megawatthours,17215
2021-12-28T08,CAL,California,SUN,Solar,-41,megawatthours,18601
2021-12-28T08,CAL,California,WND,Wind,2845,megawatthours,18601
2021-12-28T07,CAL,California,SUN,Solar,-41,megawatthours,20130
2021-12-28T07,CAL,California,WND,Wind,2612,megawatthours,20130
2021-12-28T06,CAL,California,SUN,Solar,-41,megawatthours,22429
2021-12-28T06,CAL,California,WND,Wind,2687,megawatthours,22429
2021-12-28T05,CAL,California,SUN,Solar,-41,megawatthours,24726
2021-12-28T05,CAL,California,WND,Wind,2872,megawatthours,24726
2021-12-28T04,CAL,California,SUN,Solar,-43,megawatthours,25580
2021-12-28T04,CAL,California,WND,Wind,2664,megawatthours,25580
2021-12-28T03,CAL,California,SUN,Solar,-42,megawatthours,26051
2021-12-28T03,CAL,California,WND,Wind,2829,megawatthours,26051
2021-12-28T02,CAL,California,SUN,Solar,-42,megawatthours,26471
2021-12-28T02,CAL,California,WND,Wind,2919,megawatthours,26471
2021-12-28T01,CAL,California,SUN,Solar,-25,megawatthours,26631
2021-12-28T01,CAL,California,WND,Wind,3597,megawatthours,26631
2021-12-28T00,CAL,California,SUN,Solar,1190,megawatthours,24306
2021-12-28T00,CAL,California,WND,Wind,3787,megawatthours,24306
2021-12-27T23,CAL,California,SUN,Solar,4137,megawatthours,24150
