period,respondent,respondent-name,fueltype,type-name,value,value-units
2021-02-28T16,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T16,CAL,California,OTH,Other,364,megawatthours
2021-02-28T16,CAL,California,SUN,Solar,8754,megawatthours
2021-02-28T16,CAL,California,WAT,Hydro,923,megawatthours
2021-02-28T16,CAL,California,WND,Wind,1406,megawatthours
2021-02-28T15,CAL,California,COL,Coal,778,megawatthours
2021-02-28T15,CAL,California,NG,Natural Gas,8773,megawatthours
2021-02-28T15,CAL,California,NUC,Nuclear,1147,megawatthours
2021-02-28T15,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T15,CAL,California,OTH,Other,440,megawatthours
2021-02-28T15,CAL,California,SUN,Solar,2505,megawatthours
2021-02-28T15,CAL,California,WAT,Hydro,1068,megawatthours
2021-02-28T15,CAL,California,WND,Wind,1548,megawatthours
2021-02-28T14,CAL,California,COL,Coal,768,megawatthours
2021-02-28T14,CAL,California,NG,Natural Gas,10586,megawatthours
2021-02-28T14,CAL,California,NUC,Nuclear,1148,megawatthours
2021-02-28T14,CAL,California,OIL,Petroleum,87,megawatthours
2021-02-28T14,CAL,California,OTH,Other,606,megawatthours
2021-02-28T14,CAL,California,SUN,Solar,-22,megawatthours
2021-02-28T14,CAL,California,WAT,Hydro,1134,megawatthours
2021-02-28T14,CAL,California,WND,Wind,1828,megawatthours
2021-02-28T13,CAL,California,COL,Coal,694,megawatthours
2021-02-28T13,CAL,California,NG,Natural Gas,9976,megawatthours
2021-02-28T13,CAL,California,NUC,Nuclear,1147,megawatthours
2021-02-28T13,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T13,CAL,California,OTH,Other,598,megawatthours
2021-02-28T13,CAL,California,SUN,Solar,-24,megawatthours
2021-02-28T13,CAL,California,WAT,Hydro,917,megawatthours
2021-02-28T13,CAL,California,WND,Wind,1812,megawatthours
2021-02-28T12,CAL,California,COL,Coal,652,megawatthours
2021-02-28T12,CAL,California,NG,Natural Gas,9786,megawatthours
2021-02-28T12,CAL,California,NUC,Nuclear,1147,megawatthours
2021-02-28T12,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T12,CAL,California,OTH,Other,532,megawatthours
2021-02-28T12,CAL,California,SUN,Solar,-23,megawatthours
2021-02-28T12,CAL,California,WAT,Hydro,814,megawatthours
2021-02-28T12,CAL,California,WND,Wind,2174,megawatthours
2021-02-28T11,CAL,California,COL,Coal,651,megawatthours
2021-02-28T11,CAL,California,NG,Natural Gas,9866,megawatthours
2021-02-28T11,CAL,California,NUC,Nuclear,1147,megawatthours
2021-02-28T11,CAL,California,OIL,Petroleum,87,megawatthours
2021-02-28T11,CAL,California,OTH,Other,569,megawatthours
2021-02-28T11,CAL,California,SUN,Solar,-21,megawatthours
2021-02-28T11,CAL,California,WAT,Hydro,739,megawatthours
2021-02-28T11,CAL,California,WND,Wind,2150,megawatthours
2021-02-28T10,CAL,California,COL,Coal,652,megawatthours
2021-02-28T10,CAL,California,NG,Natural Gas,9896,megawatthours
2021-02-28T10,CAL,California,NUC,Nuclear,1147,megawatthours
2021-02-28T10,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T10,CAL,California,OTH,Other,643,megawatthours
2021-02-28T10,CAL,California,SUN,Solar,-20,megawatthours
2021-02-28T10,CAL,California,WAT,Hydro,800,megawatthours
2021-02-28T10,CAL,California,WND,Wind,2089,megawatthours
2021-02-28T09,CAL,California,COL,Coal,655,megawatthours
2021-02-28T09,CAL,California,NG,Natural Gas,10336,megawatthours
2021-02-28T09,CAL,California,NUC,Nuclear,1147,megawatthours
2021-02-28T09,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T09,CAL,California,OTH,Other,360,megawatthours
2021-02-28T09,CAL,California,SUN,Solar,-19,megawatthours
2021-02-28T09,CAL,California,WAT,Hydro,1199,megawatthours
2021-02-28T09,CAL,California,WND,Wind,1691,megawatthours
2021-02-28T08,CAL,California,COL,Coal,707,megawatthours
2021-02-28T08,CAL,California,NG,Natural Gas,10391,megawatthours
2021-02-28T08,CAL,California,NUC,Nuclear,1149,megawatthours
2021-02-28T08,CAL,California,OIL,Petroleum,88,megawatthours
2021-02-28T08,CAL,California,OTH,Other,335,megawatthours
2021-02-28T08,CAL,California,SUN,Solar,-19,megawatthours
2021-02-28T08,CAL,California,WAT,Hydro,1536,megawatthours
2021-02-28T08,CAL,California,WND,Wind,1853,megawatthours
